#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         565     1.17731     1.28026   0.0131576
         566     1.17695     1.28008   0.0131356
         567     1.17658      1.2799   0.0131137
         568      1.1762     1.27971   0.0130919
         569     1.17582     1.27953   0.0130702
         570     1.17542     1.27935   0.0130485
         571     1.17501     1.27916    0.013027
         572     1.17459     1.27898   0.0130055
         573     1.17416      1.2788   0.0129841
         574     1.17373     1.27862   0.0129627
         575     1.17328     1.27843   0.0129415
         576     1.17281     1.27825   0.0129203
         577     1.17234     1.27807   0.0128992
         578     1.17185     1.27788   0.0128782
         579     1.17134      1.2777   0.0128573
         580     1.17083     1.27751   0.0128364
         581     1.17029     1.27733   0.0128157
         582     1.16975     1.27714    0.012795
         583     1.16919     1.27696   0.0127744
         584     1.16861     1.27677   0.0127539
         585     1.16801     1.27659   0.0127334
         586      1.1674      1.2764    0.012713
         587     1.16677     1.27621   0.0126928
         588     1.16612     1.27603   0.0126726
         589     1.16546     1.27584   0.0126524
         590     1.16478     1.27565   0.0126324
         591     1.16408     1.27546   0.0126124
         592     1.16335     1.27527   0.0125925
         593     1.16261     1.27508   0.0125727
         594     1.16185     1.27489    0.012553
         595     1.16107      1.2747   0.0125334
         596     1.16028     1.27451   0.0125138
         597     1.15946     1.27432   0.0124943
         598     1.15862     1.27412   0.0124749
         599     1.15776     1.27393   0.0124556
         600     1.15688     1.27373   0.0124364
         601     1.15599     1.27354   0.0124172
         602     1.15507     1.27334   0.0123982
         603     1.15414     1.27314   0.0123792
         604     1.15318     1.27294   0.0123603
         605     1.15221     1.27275   0.0123415
         606     1.15122     1.27254   0.0123227
         607     1.15022     1.27234   0.0123041
         608      1.1492     1.27214   0.0122855
         609     1.14816     1.27194    0.012267
         610      1.1471     1.27173   0.0122486
         611     1.14604     1.27153   0.0122303
         612     1.14495     1.27132   0.0122121
         613     1.14386     1.27111   0.0121939
         614     1.14275      1.2709   0.0121758
         615     1.14163     1.27069   0.0121579
         616      1.1405     1.27048     0.01214
         617     1.13936     1.27027   0.0121221
         618     1.13821     1.27006   0.0121044
         619     1.13706     1.26984   0.0120868
         620     1.13589     1.26962   0.0120692
         621     1.13472     1.26941   0.0120517
         622     1.13354     1.26919   0.0120343
         623     1.13236     1.26897    0.012017
         624     1.13117     1.26875   0.0119998
         625     1.12997     1.26853   0.0119826
         626     1.12878      1.2683   0.0119656
         627     1.12758     1.26808   0.0119486
         628     1.12638     1.26785   0.0119317
         629     1.12518     1.26763   0.0119149
         630     1.12397      1.2674   0.0118982
         631     1.12277     1.26717   0.0118815
         632     1.12156     1.26694   0.0118649
         633     1.12036     1.26671   0.0118485
         634     1.11915     1.26647   0.0118321
         635     1.11795     1.26624   0.0118157
         636     1.11674     1.26601   0.0117995
         637     1.11553     1.26577   0.0117833
         638     1.11433     1.26553   0.0117673
         639     1.11312     1.26529   0.0117513
         640     1.11192     1.26505   0.0117353
         641     1.11071     1.26481   0.0117195
         642      1.1095     1.26457   0.0117037
         643      1.1083     1.26433   0.0116881
         644     1.10709     1.26408   0.0116725
         645     1.10588     1.26384   0.0116569
         646     1.10467     1.26359   0.0116415
         647     1.10345     1.26334   0.0116261
         648     1.10224      1.2631   0.0116109
         649     1.10102     1.26285   0.0115957
         650      1.0998      1.2626   0.0115805
         651     1.09858     1.26234   0.0115655
         652     1.09735     1.26209   0.0115505
         653     1.09613     1.26184   0.0115356
         654     1.09489     1.26158   0.0115208
         655     1.09366     1.26132   0.0115061
         656     1.09242     1.26107   0.0114914
         657     1.09118     1.26081   0.0114768
         658     1.08993     1.26055   0.0114623
         659     1.08868     1.26029   0.0114479
         660     1.08743     1.26003   0.0114335
         661     1.08618     1.25976   0.0114193
         662     1.08492      1.2595   0.0114051
         663     1.08366     1.25923    0.011391
         664      1.0824     1.25897   0.0113769
         665     1.08114      1.2587   0.0113629
         666     1.07988     1.25843   0.0113491
         667     1.07862     1.25816   0.0113352
         668     1.07736     1.25789   0.0113215
         669      1.0761     1.25762   0.0113078
         670     1.07484     1.25735   0.0112943
         671     1.07359     1.25707   0.0112807
         672     1.07235      1.2568   0.0112673
         673     1.07112     1.25652   0.0112539
         674     1.06989     1.25624   0.0112407
         675     1.06868     1.25597   0.0112274
         676     1.06747     1.25569   0.0112143
         677     1.06628     1.25541   0.0112012
         678     1.06511     1.25513   0.0111882
         679     1.06396     1.25485   0.0111753
         680     1.06282     1.25456   0.0111624
         681     1.06171     1.25428   0.0111496
         682     1.06061       1.254   0.0111369
         683     1.05954     1.25371   0.0111242
         684      1.0585     1.25343   0.0111116
         685     1.05748     1.25314   0.0110991
         686      1.0565     1.25285   0.0110866
         687     1.05555     1.25257   0.0110742
         688     1.05463     1.25228   0.0110618
         689     1.05374     1.25199   0.0110495
         690     1.05289      1.2517   0.0110373
         691     1.05208     1.25141   0.0110251
         692     1.05131     1.25112   0.0110129
         693     1.05058     1.25083   0.0110008
         694     1.04989     1.25055   0.0109888
         695     1.04925     1.25026   0.0109768
         696     1.04865     1.24997   0.0109648
         697      1.0481     1.24968   0.0109529
         698     1.04759     1.24939   0.0109411
         699     1.04714      1.2491   0.0109292
         700     1.04673     1.24881   0.0109175
         701     1.04637     1.24852   0.0109057
         702     1.04607     1.24823    0.010894
         703     1.04581     1.24794   0.0108823
         704     1.04561     1.24766   0.0108706
         705     1.04545     1.24737    0.010859
         706     1.04535     1.24708   0.0108474
         707      1.0453      1.2468   0.0108358
         708     1.04531     1.24651   0.0108242
         709     1.04536     1.24623   0.0108127
         710     1.04547     1.24595   0.0108011
         711     1.04563     1.24566   0.0107896
         712     1.04584     1.24538   0.0107781
         713      1.0461      1.2451   0.0107666
         714     1.04642     1.24483   0.0107551
         715     1.04678     1.24455   0.0107437
         716     1.04719     1.24427   0.0107322
         717     1.04765       1.244   0.0107207
         718     1.04816     1.24373   0.0107093
         719     1.04871     1.24346   0.0106978
         720     1.04931     1.24319   0.0106863
         721     1.04995     1.24292   0.0106749
         722     1.05064     1.24265   0.0106634
         723     1.05137     1.24239   0.0106519
         724     1.05214     1.24212   0.0106405
         725     1.05295     1.24186    0.010629
         726     1.05379      1.2416   0.0106175
         727     1.05467     1.24135    0.010606
         728     1.05559     1.24109   0.0105945
         729     1.05654     1.24084    0.010583
         730     1.05752     1.24059   0.0105715
