#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         635     2.10669    0.933959   0.0895539
         636     2.11255    0.935812   0.0894323
         637     2.11842    0.937669   0.0893112
         638     2.12429    0.939529   0.0891905
         639     2.13018    0.941392   0.0890704
         640     2.13608    0.943259   0.0889508
         641     2.14174    0.945128   0.0888317
         642     2.14789    0.947002   0.0887131
         643     2.15382    0.948879    0.088595
         644     2.15975    0.950759   0.0884773
         645     2.16594    0.952643   0.0883602
         646     2.17262    0.954532   0.0882436
         647      2.1786    0.956423   0.0881275
         648     2.18435    0.958318   0.0880119
         649     2.19059    0.960217   0.0878967
         650     2.19661    0.962119   0.0877821
         651     2.20288    0.964025   0.0876679
         652     2.20845    0.965934   0.0875543
         653     2.21452    0.967846   0.0874411
         654     2.22036    0.969761   0.0873283
         655     2.22669     0.97168   0.0872161
         656     2.23256    0.973602   0.0871043
         657     2.23868    0.975528    0.086993
         658     2.24386    0.977455   0.0868821
         659     2.25024    0.979387   0.0867718
         660     2.25639    0.981321   0.0866619
         661     2.26231    0.983259   0.0865524
         662     2.26823      0.9852   0.0864434
         663     2.27438    0.987145   0.0863349
         664     2.28102    0.989094   0.0862269
         665     2.28717    0.991046   0.0861193
         666     2.29282       0.993   0.0860122
         667     2.29917    0.994958   0.0859055
         668      2.3055     0.99692   0.0857993
         669     2.31156    0.998885   0.0856936
         670     2.31758     1.00085   0.0855883
         671     2.32405     1.00283   0.0854834
         672     2.33022      1.0048   0.0853791
         673     2.33609     1.00678   0.0852751
         674      2.3419     1.00876   0.0851716
         675     2.34739     1.01074   0.0850685
         676     2.35377     1.01273   0.0849658
         677     2.36006     1.01472   0.0848636
         678     2.36577     1.01671   0.0847619
         679     2.37161     1.01871   0.0846605
         680      2.3771     1.02071   0.0845596
         681     2.38222      1.0227    0.084459
         682     2.38745     1.02471   0.0843589
         683     2.39182     1.02671   0.0842591
         684     2.39677     1.02871   0.0841598
         685     2.40107     1.03071   0.0840607
         686     2.40521     1.03272   0.0839621
         687     2.40965     1.03472   0.0838638
         688     2.41343     1.03673   0.0837658
         689     2.41726     1.03873   0.0836682
         690     2.42114     1.04073   0.0835709
         691     2.42456     1.04274    0.083474
         692     2.42802     1.04474   0.0833774
         693     2.43029     1.04674    0.083281
         694     2.43354     1.04874    0.083185
         695     2.43656     1.05073   0.0830893
         696     2.43885     1.05273   0.0829938
         697     2.44115     1.05472   0.0828986
         698      2.4432     1.05671   0.0828037
         699       2.445     1.05869   0.0827091
         700     2.44607     1.06068   0.0826147
         701     2.44736     1.06265   0.0825205
         702     2.44767     1.06463   0.0824265
         703     2.44843      1.0666   0.0823328
         704      2.4487     1.06856   0.0822392
         705      2.4487     1.07052   0.0821459
         706     2.44819     1.07247   0.0820527
         707     2.44766     1.07441   0.0819597
         708     2.44638     1.07635   0.0818668
         709     2.44532     1.07828   0.0817741
         710       2.444      1.0802   0.0816816
         711     2.44241     1.08212   0.0815892
         712     2.44009     1.08403   0.0814969
         713     2.43871     1.08593   0.0814047
         714     2.43611     1.08782   0.0813127
         715     2.43302      1.0897   0.0812207
         716     2.43017     1.09157   0.0811288
         717     2.42756     1.09344   0.0810371
         718     2.42399     1.09529   0.0809454
         719     2.42043     1.09713   0.0808538
         720     2.41689     1.09897   0.0807623
         721     2.41289     1.10079   0.0806708
         722     2.40891      1.1026   0.0805794
         723     2.40497      1.1044   0.0804881
         724     2.40034     1.10619   0.0803968
