#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         521    -6.62486     -6.6908  0.00560055
         522    -6.56626    -6.69057   0.0055949
         523    -6.59372    -6.69038  0.00558727
         524    -6.62386    -6.69025  0.00557805
         525    -6.68134    -6.69024  0.00556745
         526    -6.68503    -6.69023  0.00555687
         527    -6.66248    -6.69017  0.00554658
         528    -6.69143    -6.69018  0.00553607
         529     -6.7522    -6.69029  0.00552685
         530     -6.7099    -6.69033  0.00551654
         531    -6.65883    -6.69027  0.00550647
         532    -6.69312    -6.69028  0.00549613
         533    -6.67908    -6.69026  0.00548585
         534    -6.69348    -6.69026  0.00547558
         535    -6.66686    -6.69022  0.00546552
         536    -6.67794     -6.6902  0.00545538
         537    -6.70902    -6.69023  0.00544533
         538    -6.68286    -6.69022  0.00543522
         539    -6.75086    -6.69033  0.00542631
         540     -6.6989    -6.69035  0.00541628
         541    -6.71957     -6.6904  0.00540654
         542    -6.71542    -6.69045  0.00539676
         543     -6.7133    -6.69049  0.00538698
         544     -6.7488    -6.69059  0.00537815
         545    -6.76098    -6.69072  0.00536983
         546    -6.72567    -6.69079  0.00536038
         547    -6.75992    -6.69091  0.00535207
         548    -6.80535    -6.69112  0.00534637
         549    -6.74937    -6.69123  0.00533769
         550    -6.77179    -6.69138  0.00532999
         551    -6.75907     -6.6915  0.00532173
         552     -6.7778    -6.69165  0.00531439
         553    -6.82388    -6.69189  0.00531016
         554    -6.79929    -6.69209  0.00530411
         555    -6.70209    -6.69211  0.00529458
         556    -6.68234    -6.69209  0.00528509
         557    -6.68798    -6.69208   0.0052756
         558    -6.74122    -6.69217  0.00526689
         559     -6.7758    -6.69232  0.00525959
         560    -6.81274    -6.69253  0.00525459
         561    -6.74818    -6.69263  0.00524616
         562     -6.7914    -6.69281  0.00523977
         563    -6.71268    -6.69284  0.00523058
         564    -6.73072    -6.69291  0.00522174
         565    -6.74974    -6.69301  0.00521346
         566    -6.81895    -6.69323    0.005209
         567    -6.80401    -6.69343  0.00520347
         568     -6.8344    -6.69368  0.00520023
         569    -6.84863    -6.69395  0.00519821
         570    -6.81412    -6.69416  0.00519337
         571    -6.74125    -6.69424  0.00518493
         572    -6.71527    -6.69428  0.00517599
         573    -6.69486    -6.69428  0.00516696
         574    -6.68554    -6.69427  0.00515798
         575    -6.62002    -6.69414  0.00515063
         576     -6.6509    -6.69406  0.00514223
         577    -6.61786    -6.69393  0.00513501
         578    -6.62111     -6.6938  0.00512768
         579    -6.62306    -6.69368  0.00512028
         580    -6.62444    -6.69356  0.00511284
         581    -6.65827     -6.6935   0.0051044
         582    -6.59782    -6.69334  0.00509828
         583    -6.72938     -6.6934  0.00508991
         584    -6.64681    -6.69332  0.00508181
         585    -6.61843    -6.69319  0.00507474
         586    -6.61062    -6.69305  0.00506804
         587    -6.59654    -6.69289  0.00506207
         588    -6.53617    -6.69262  0.00506047
         589    -6.61728    -6.69249   0.0050535
         590    -6.64827    -6.69242  0.00504549
         591    -6.65859    -6.69236  0.00503727
         592    -6.62103    -6.69224  0.00503021
         593    -6.66805     -6.6922  0.00502189
         594    -6.75607    -6.69231  0.00501458
         595     -6.7272    -6.69236   0.0050065
         596    -6.76756    -6.69249  0.00499969
         597    -6.76388    -6.69261  0.00499274
         598    -6.72211    -6.69266  0.00498464
         599    -6.69821    -6.69267  0.00497633
         600    -6.65719    -6.69261  0.00496838
         601     -6.7612    -6.69272  0.00496143
         602    -6.78894    -6.69288  0.00495576
         603     -6.7174    -6.69292  0.00494771
         604    -6.78312    -6.69307  0.00494177
         605     -6.7544    -6.69317  0.00493464
         606    -6.74299    -6.69326  0.00492718
         607    -6.74804    -6.69335  0.00491989
         608    -6.73955    -6.69342  0.00491239
         609    -6.78486    -6.69357  0.00490661
         610    -6.78429    -6.69372  0.00490082
         611     -6.6999    -6.69373  0.00489281
         612    -6.62437    -6.69362  0.00488613
         613    -6.68179     -6.6936   0.0048782
         614    -6.67737    -6.69357  0.00487032
         615    -6.73978    -6.69365  0.00486298
         616    -6.69609    -6.69365  0.00485509
         617     -6.7367    -6.69372  0.00484772
         618    -6.70555    -6.69374  0.00483992
         619     -6.6834    -6.69372  0.00483213
         620    -6.72822    -6.69378  0.00482465
         621    -6.69705    -6.69378  0.00481689
         622    -6.71051    -6.69381  0.00480922
         623    -6.69444    -6.69381   0.0048015
         624    -6.76207    -6.69392  0.00479505
         625    -6.73228    -6.69398  0.00478777
         626    -6.73686    -6.69405  0.00478061
         627    -6.69573    -6.69405  0.00477299
         628     -6.6828    -6.69404  0.00476542
         629    -6.68141    -6.69402  0.00475789
         630    -6.70507    -6.69403  0.00475037
         631    -6.63507    -6.69394  0.00474376
         632    -6.74229    -6.69402  0.00473687
         633    -6.67877    -6.69399  0.00472945
         634    -6.62696    -6.69389  0.00472317
         635    -6.70226     -6.6939  0.00471575
         636    -6.68956    -6.69389  0.00470834
         637    -6.61463    -6.69377  0.00470259
         638    -6.68158    -6.69375  0.00469526
         639    -6.63317    -6.69366  0.00468887
         640    -6.70816    -6.69368   0.0046816
         641    -6.68125    -6.69366  0.00467434
         642    -6.72852    -6.69371  0.00466737
         643    -6.72276    -6.69376  0.00466033
         644    -6.73883    -6.69383  0.00465362
         645    -6.69014    -6.69382  0.00464641
         646    -6.67808     -6.6938  0.00463928
         647    -6.67878    -6.69377  0.00463217
         648    -6.68607    -6.69376  0.00462503
         649    -6.74198    -6.69384   0.0046185
         650    -6.80742    -6.69401   0.0046147
         651    -6.74782    -6.69409  0.00460835
         652    -6.75701    -6.69419   0.0046023
         653    -6.75867    -6.69429  0.00459631
         654    -6.76142    -6.69439  0.00459043
         655    -6.75558    -6.69449  0.00458437
         656    -6.69837    -6.69449  0.00457738
         657    -6.72716    -6.69454  0.00457069
         658     -6.7046    -6.69456  0.00456377
         659    -6.73406    -6.69462  0.00455723
