#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         556    0.904881    0.901532 6.05411e-05
         557    0.904901    0.901538 6.07338e-05
         558    0.904921    0.901544 6.09269e-05
         559    0.904942     0.90155 6.11204e-05
         560    0.904962    0.901556 6.13142e-05
         561    0.904983    0.901562 6.15084e-05
         562    0.905004    0.901568  6.1703e-05
         563    0.905024    0.901575 6.18979e-05
         564    0.905045    0.901581 6.20933e-05
         565    0.905066    0.901587  6.2289e-05
         566    0.905087    0.901593 6.24851e-05
         567    0.905108    0.901599 6.26815e-05
         568    0.905128    0.901606 6.28784e-05
         569     0.90515    0.901612 6.30756e-05
         570    0.905171    0.901618 6.32732e-05
         571    0.905192    0.901624 6.34712e-05
         572    0.905213    0.901631 6.36695e-05
         573    0.905234    0.901637 6.38683e-05
         574    0.905256    0.901643 6.40674e-05
         575    0.905277    0.901649 6.42669e-05
         576    0.905298    0.901656 6.44668e-05
         577     0.90532    0.901662 6.46671e-05
         578    0.905341    0.901668 6.48677e-05
         579    0.905363    0.901675 6.50688e-05
         580    0.905385    0.901681 6.52702e-05
         581    0.905407    0.901688 6.54721e-05
         582    0.905428    0.901694 6.56743e-05
         583     0.90545    0.901701 6.58769e-05
         584    0.905472    0.901707 6.60799e-05
         585    0.905494    0.901713 6.62833e-05
         586    0.905516     0.90172 6.64871e-05
         587    0.905538    0.901726 6.66913e-05
         588    0.905561    0.901733 6.68959e-05
         589    0.905583     0.90174 6.71008e-05
         590    0.905605    0.901746 6.73062e-05
         591    0.905627    0.901753  6.7512e-05
         592     0.90565    0.901759 6.77181e-05
         593    0.905672    0.901766 6.79247e-05
         594    0.905695    0.901772 6.81317e-05
         595    0.905718    0.901779  6.8339e-05
         596     0.90574    0.901786 6.85468e-05
         597    0.905763    0.901792  6.8755e-05
         598    0.905786    0.901799 6.89636e-05
         599    0.905809    0.901806 6.91725e-05
         600    0.905832    0.901812 6.93819e-05
         601    0.905855    0.901819 6.95917e-05
         602    0.905878    0.901826 6.98019e-05
         603    0.905901    0.901833 7.00125e-05
         604    0.905924    0.901839 7.02236e-05
         605    0.905947    0.901846  7.0435e-05
         606    0.905971    0.901853 7.06468e-05
         607    0.905994     0.90186 7.08591e-05
         608    0.906018    0.901867 7.10718e-05
         609    0.906041    0.901874 7.12849e-05
         610    0.906065     0.90188 7.14984e-05
         611    0.906088    0.901887 7.17123e-05
         612    0.906112    0.901894 7.19266e-05
         613    0.906136    0.901901 7.21414e-05
